A,B
18,31
7,19
20,32
19,32
8,31
20,31
19,32
20,32
20,31
7,21
19,31
6,19
7,20
17,31
14,30
20,32
8,20
19,31
10,32
8,20
19,31
7,22
12,31
20,32
8,20
11,23
7,20
19,32
18,31
19,33
19,32
20,32
15,32
7,19
20,32
18,31
9,30
7,27
17,32
19,32
21,33
20,32
20,31
14,29
19,32
20,32
8,23
20,32
19,32
7,19
14,28
19,32
9,23
7,19
20,31
15,31
21,32
20,32
19,31
10,25
19,31
13,30
20,32
9,31
12,30
19,31
17,31
8,21
7,18
17,31
20,31
20,32
7,19
18,31
13,31
20,32
19,31
6,19
20,32
7,19
20,32
7,20
8,24
20,31
19,31
18,31
19,31
8,32
10,31
21,33
19,32
20,32
17,31
7,31
19,32
7,20
19,31
18,31
19,32
13,31
20,32
19,32
7,20
10,23
7,19
20,32
19,32
12,25
21,34
20,33
21,33
20,32
18,31
13,27
19,32
13,25
20,32
18,31
8,24
20,32
8,31
15,28
7,27
20,31
20,32
19,32
20,32
14,31
19,31
19,32
11,25
20,32
10,24
8,30
19,31
19,32
20,32
11,29
20,33
13,32
7,20
19,32
19,31
21,32
12,25
18,32
19,31
8,31
8,21
8,32
19,32
9,31
12,32
7,20
15,32
5,19
19,31
19,32
20,32
7,19
13,25
20,32
19,32
13,26
20,32
8,21
7,19
12,28
16,31
20,31
8,20
7,26
8,32
11,32
20,32
7,20
20,32
19,32
10,22
19,31
20,33
20,31
20,32
20,32
15,28
20,32
7,30
18,31
11,31
9,22
8,30
8,22
18,31
8,20
19,32
8,29
7,26
18,31
8,24
20,32
16,29
15,32
19,32
19,31
11,25
11,25
7,31
8,21
7,19
14,32
13,26
16,31
19,31
7,20
20,31
16,31
10,24
8,21
7,19
17,31
19,32
19,31
18,31
7,18
11,24
13,28
8,31
20,32
8,21
7,20
19,32
14,31
18,32
20,32
13,27
7,31
7,20
8,20
8,32
21,32
20,32
17,30
8,21
19,32
16,29
20,33
15,28
7,27
18,31
9,22
8,23
18,31
21,33
20,33
14,30
20,32
8,32
20,32
20,32
14,27
20,32
8,31
20,32
17,31
17,31
7,20
21,32
7,20
17,30
19,32
8,22
20,32
10,23
12,25
19,32
18,31
19,31
7,19
20,32
20,32
20,32
19,32
20,32
20,32
20,32
20,32
13,26
16,29
19,31
20,32
7,19
20,32
19,31
19,32
20,32
7,19
20,32
12,30
8,32
11,25
19,32
12,32
12,31
20,32
7,20
12,31
14,32
19,31
13,25
8,21
7,19
16,29
8,22
21,32
19,31
8,31
14,31
8,22
12,31
7,31
8,23
20,32
20,32
20,32
8,27
8,31
13,31
12,26
13,26
16,30
18,31
19,32
15,29
20,32
8,21
20,32
14,31
20,32
7,32
8,26
8,20
19,32
20,32
17,31
17,31
20,32
20,32
18,31
8,23
17,30
20,32
14,31
7,20
13,31
7,20
14,27
19,31
8,31
8,22
20,32
18,31
8,20
7,20
8,20
19,31
19,32
19,31
8,19
20,33
20,32
20,32
7,20
9,22
20,32
17,31
8,31
13,26
19,31
9,22
11,31
12,28
15,30
16,32
19,32
9,31
19,32
12,29
13,26
19,32
8,26
19,31
18,31
8,22
16,28
19,31
17,32
7,20
8,21
16,29
7,20
7,28
8,21
19,32
7,20
10,27
18,31
8,23
7,31
7,32
8,31
20,32
16,31
19,32
19,32
19,32
19,31
8,31
7,31
13,31
19,32
8,19
8,31
18,31
19,33
19,32
7,21
14,31
7,32
20,32
21,33
19,31
7,19
9,22
9,31
21,32
12,26
20,32
20,32
20,33
20,32
19,31
19,31
20,32
9,32
19,32
19,31
7,19
20,32
18,31
17,31
15,29
20,32
8,19
8,28
19,31
6,19
19,31
8,20
8,21
8,27
7,19
11,24
20,33
19,32
17,30
19,32
18,31
20,32
19,32
20,32
18,30
19,32
10,31
15,28
19,31
10,22
19,32
20,33
13,31
10,23
17,30
8,22
7,32
7,31
9,21
20,32
19,31
14,26
9,22
11,24
18,30
20,32
7,20
19,30
8,29
19,31
8,27
20,33
20,32
7,19
20,32
9,32
20,33
7,31
19,32
20,32
12,26
16,29
11,24
8,32
19,32
20,31
8,21
18,31
13,27
19,33
8,20
7,19
20,32
8,31
19,32
12,25
7,18
7,20
20,32
18,32
18,30
20,31
20,32
20,33
8,23
7,19
18,32
8,32
13,27
20,32
14,32
19,32
15,28
17,30
21,32
19,32
7,20
20,32
20,32
8,21
21,33
19,31
17,30
8,22
10,24
20,32
19,32
15,28
13,27
